,dies6_pooled,disw2_pooled
1,1.0860687375900817,1.115840988071243
2,1.105479709621166,1.138716162404561
3,1.118874929359988,1.157791797792299
4,1.135582690391421,1.1762513645189203
5,1.1354373678466432,1.1761657980160927
6,1.1502496047131654,1.198467284150662
7,1.149887815005606,1.1981542179144755
8,1.1629352847959893,1.2082929177960586
9,1.1608134216708408,1.2062554061216293
10,1.168959568574133,1.2109841228023706
11,1.1675504645593455,1.2094634781619553
12,1.1567122344536962,1.1986555042154567
13,1.1612239675691844,1.205922369214974
14,1.15187793581199,1.1963115015371824
15,1.1289436656015086,1.1727142658858212
16,1.133353663220928,1.173284940209946
17,1.1394041263249215,1.1762993229864165
18,1.1360181508264138,1.1729408039108669
19,1.1338676270811814,1.1705561494084458
20,1.136685569541647,1.1760108552921913
21,1.1350931453875879,1.1742683523574087
22,1.1321187767729266,1.1695326987499506
23,1.129293654509386,1.1644934385495602
24,1.1258987160297416,1.1581085650312304
25,1.124516577917072,1.1566812854242876
26,1.1218889418838827,1.1511560175891131
27,1.119816345733321,1.1461595430998932
28,1.1238253898201762,1.1498827018946978
29,1.1203399096841478,1.1439033827697216
30,1.1128836957582386,1.1362560082283635
31,1.1014200225415718,1.1245750956594989
32,1.114362739690082,1.134535058097798
33,1.1278860933002544,1.143903056693555
34,1.1306647276731552,1.1477718805112305
35,1.143638610277271,1.1558191468096972
36,1.1521115056395759,1.1607402494435184
37,1.1611129588696103,1.1681816954815423
38,1.164513731849063,1.1681949357950185
39,1.1677771311971938,1.1703556525036571
40,1.1696991864823372,1.172175521540327
41,1.1637368812958044,1.1684709223571002
42,1.1616874511221233,1.170765029034788
43,1.1633831799108594,1.1755074265901915
44,1.1613997187542224,1.1701771932708576
45,1.163028822325947,1.1751439091556817
46,1.159797508518232,1.1730833740773552
47,1.1609365861721623,1.1776062434469565
48,1.1586359801620407,1.1785666365359246
49,1.1582803720041355,1.178293017532837
50,1.1693500619081525,1.1896174575298784
51,1.1708253299107712,1.1901598806093705
52,1.1693550488331041,1.1889622094288606
53,1.1671411568109034,1.1869475273655932
54,1.1605400397297685,1.1804079336533426
55,1.1641752957973326,1.1840147216082109
56,1.15966868352215,1.1795120646913617
57,1.1753657113184535,1.195345727882846
58,1.1736595516518815,1.1934406980971783
59,1.1820574812506854,1.2023174166290518
60,1.17893040152092,1.1972624813105472
61,1.173013772045072,1.1877445145840724
62,1.165430279240822,1.1782608325276882
63,1.1594928077387303,1.1693935675091742
64,1.1582867245069874,1.1685628133131762
65,1.1573414258609702,1.1697363953508977
66,1.1496597963420214,1.1579754897035175
67,1.1571988366564017,1.1664554052909357
68,1.1584298489495177,1.170259348072694
69,1.1522721013743846,1.164005103146145
70,1.1362972192444727,1.1490557153504537
71,1.1348143308324874,1.1477254943843869
72,1.1548046031079002,1.170619868666598
73,1.1657276514736556,1.1821592729159125
74,1.1887973565450622,1.2066770059640204
75,1.20441714185949,1.2223605404080125
76,1.2248281273619015,1.2445127233523563
77,1.2226345408632193,1.2440490224259713
78,1.2488557109153742,1.2703686327782482
79,1.2543938272576296,1.275597539615111
80,1.2512354754683686,1.2732276815946504
81,1.2679780913780665,1.2929481773264222
82,1.2909610216535952,1.3199214795276646
83,1.302028375976185,1.3327873481464965
84,1.315654569970858,1.349602533767744
85,1.317100824827833,1.351135633102021
86,1.347715856294551,1.38283251253809
87,1.3653796794192286,1.4049959412689508
88,1.3704138506500825,1.4117298188114271
