0,pos_start,pos_stop,length,dies6_pool,disw2_pool
-3 NS,74,154,80,0.021940864522745684,2.611357416542265e-55
-2L,199,219,20,0.00012424799712090306,1.1910629903547917e-51
-2NS,299,379,80,5.488800026178359e-08,2.0802712544875373e-49
-1L,399,419,20,0.0002708012451304448,2.4469934563013034e-35
-1NS,474,554,80,4.359391141324061e-05,1.05449836106843e-49
ARS316,624,704,80,6.643341534847347e-14,2.891519782804668e-116
+1ns,749,829,80,1.2029390747043408e-19,2.7312455989041824e-79
+2ns,879,959,80,8.946374865228294e-07,8.469204245084219e-64
+2L,1024,1049,25,0.6925164668814553,5.364444436199546e-14
+3ns,1109,1189,80,3.2918975619852223e-10,3.690003933093948e-49
